id,created_at,updated_at,multiplier,multiplier_dt,home_bet_id
182,2023-03-07 02:33:37.629299+00:00,2023-03-07 02:33:37.629313+00:00,1.50,2023-03-07 02:33:37.629097+00:00,2
183,2023-03-07 02:34:08.216899+00:00,2023-03-07 02:34:08.216949+00:00,4.68,2023-03-07 02:34:08.216506+00:00,2
184,2023-03-07 02:34:34.802682+00:00,2023-03-07 02:34:34.802740+00:00,1.31,2023-03-07 02:34:34.802307+00:00,2
185,2023-03-07 02:34:46.921757+00:00,2023-03-07 02:34:46.921801+00:00,1.40,2023-03-07 02:34:46.921397+00:00,2
186,2023-03-07 02:35:03.522364+00:00,2023-03-07 02:35:03.522376+00:00,1.26,2023-03-07 02:35:03.522203+00:00,2
187,2023-03-07 02:35:40.824730+00:00,2023-03-07 02:35:40.824771+00:00,5.68,2023-03-07 02:35:40.824391+00:00,2
188,2023-03-07 02:36:03.548887+00:00,2023-03-07 02:36:03.548931+00:00,3.37,2023-03-07 02:36:03.548546+00:00,2
189,2023-03-07 02:36:31.788330+00:00,2023-03-07 02:36:31.788396+00:00,3.82,2023-03-07 02:36:31.787907+00:00,2
190,2023-03-07 02:36:54.679999+00:00,2023-03-07 02:36:54.680052+00:00,1.74,2023-03-07 02:36:54.679581+00:00,2
191,2023-03-07 02:37:22.808216+00:00,2023-03-07 02:37:22.808269+00:00,2.59,2023-03-07 02:37:22.807828+00:00,2
192,2023-03-07 02:37:42.778170+00:00,2023-03-07 02:37:42.778234+00:00,2.43,2023-03-07 02:37:42.777787+00:00,2
193,2023-03-07 02:38:11.141681+00:00,2023-03-07 02:38:11.141751+00:00,4.01,2023-03-07 02:38:11.141083+00:00,2
194,2023-03-07 02:38:28.596381+00:00,2023-03-07 02:38:28.596437+00:00,1.21,2023-03-07 02:38:28.595932+00:00,2
195,2023-03-07 02:38:56.458878+00:00,2023-03-07 02:38:56.458958+00:00,2.21,2023-03-07 02:38:56.458320+00:00,2
196,2023-03-07 02:39:17.219598+00:00,2023-03-07 02:39:17.219642+00:00,2.55,2023-03-07 02:39:17.219257+00:00,2
197,2023-03-07 02:39:41.290750+00:00,2023-03-07 02:39:41.290820+00:00,1.69,2023-03-07 02:39:41.289790+00:00,2
198,2023-03-07 02:39:58.927446+00:00,2023-03-07 02:39:58.927508+00:00,1.70,2023-03-07 02:39:58.927087+00:00,2
199,2023-03-07 02:40:15.093670+00:00,2023-03-07 02:40:15.093779+00:00,1.29,2023-03-07 02:40:15.092662+00:00,2
200,2023-03-07 02:40:50.464716+00:00,2023-03-07 02:40:50.464763+00:00,2.87,2023-03-07 02:40:50.463883+00:00,2
201,2023-03-07 02:41:02.656931+00:00,2023-03-07 02:41:02.656991+00:00,1.14,2023-03-07 02:41:02.656555+00:00,2
202,2023-03-07 02:41:23.180069+00:00,2023-03-07 02:41:23.180115+00:00,1.42,2023-03-07 02:41:23.179708+00:00,2
203,2023-03-07 02:41:49.834611+00:00,2023-03-07 02:41:49.834658+00:00,3.21,2023-03-07 02:41:49.834244+00:00,2
